FID,OBJECTID,NAME,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,longitude,latitude
0,19,Anaheim,CA,06,0602000, ,8,349504,336265,-117.931836501000010,33.825213454999997
1,59,Burbank,CA,06,0608954, ,8,105304,103340,-118.323427622000000,34.187986168000002
2,98,Corona,CA,06,0616350, ,8,155471,152374,-117.564228320000000,33.862369471000001
3,124,East Los Angeles,CA,06,0620802, ,8,127342,126496,-118.169142303000000,34.032628062000001
4,195,Indio,CA,06,0636448, ,7,81403,76036,-116.230169016999990,33.716409882999997
5,245,Long Beach,CA,06,0643000, ,8,471210,462257,-118.152554897000000,33.774564800000000
6,248,Los Angeles,CA,06,0644000, ,10,3887115,3792621,-118.539954248000000,34.176220921999999
7,293,Newport Beach,CA,06,0651182, ,7,87813,85186,-117.867147853000010,33.614927363000000
8,306,Oceanside,CA,06,0653322, ,8,173291,167086,-117.308194439999990,33.224763275999997
9,315,Oxnard,CA,06,0654652, ,8,202735,197899,-119.182459790000000,34.195972697999999
10,327,Pasadena,CA,06,0656000, ,8,139693,137122,-118.138924184000000,34.159773801000000
11,356,Redlands,CA,06,0659962, ,7,69275,68747,-117.172754291000000,34.052412908000001
12,366,Riverside,CA,06,0662000, ,8,312090,303871,-117.394840873000010,33.938143476999997
13,386,San Diego,CA,06,0666000, ,10,1343525,1307402,-117.128162836000000,32.863572767000001
14,406,Santa Barbara,CA,06,0669070, ,7,89837,88410,-119.710887172000000,34.428507580999998
15,408,Santa Clarita,CA,06,0669088, ,8,182317,176320,-118.503401782000000,34.412015900999997
16,412,Santa Monica,CA,06,0670000, ,7,92416,89736,-118.481564449999990,34.023191494000002
17,424,Simi Valley,CA,06,0672016, ,8,126484,124237,-118.749099457000000,34.266377484000003
18,446,Temecula,CA,06,0678120, ,8,108083,100097,-117.122392612000000,33.503009620999997
19,459,Upland,CA,06,0681344, ,7,75687,73732,-117.660289783000000,34.117849729000000